chooseKey,count,grade,keyType,mainCategory,mainKey,name,pricePeOne,subCategory,subKey,totalTradeCount,mainLabel,subLabel,description,
0,,1,0,1,10003,Elsh Longsword,,1,0,,Main Weapon,Longsword,Elsh Longsword (+0 ~ +7),
8,,1,0,1,10003,Elsh Longsword,,1,8,,Main Weapon,Longsword,+8 Elsh Longsword (+8 ~ +10),
11,,1,0,1,10003,Elsh Longsword,,1,11,,Main Weapon,Longsword,+11 Elsh Longsword (+11 ~ +12),
13,,1,0,1,10003,Elsh Longsword,,1,13,,Main Weapon,Longsword,+13 Elsh Longsword (+13 ~ +15),
16,,1,0,1,10003,Elsh Longsword,,1,16,,Main Weapon,Longsword,PRI : Elsh Longsword,
17,,1,0,1,10003,Elsh Longsword,,1,17,,Main Weapon,Longsword,DUO : Elsh Longsword,
18,,1,0,1,10003,Elsh Longsword,,1,18,,Main Weapon,Longsword,TRI : Elsh Longsword,
19,,1,0,1,10003,Elsh Longsword,,1,19,,Main Weapon,Longsword,TET : Elsh Longsword,
20,,1,0,1,10003,Elsh Longsword,,1,20,,Main Weapon,Longsword,PEN : Elsh Longsword,
0,,1,0,1,10007,Seleth Longsword,,1,0,,Main Weapon,Longsword,Seleth Longsword (+0 ~ +7),
8,,1,0,1,10007,Seleth Longsword,,1,8,,Main Weapon,Longsword,+8 Seleth Longsword (+8 ~ +10),
11,,1,0,1,10007,Seleth Longsword,,1,11,,Main Weapon,Longsword,+11 Seleth Longsword (+11 ~ +12),
13,,1,0,1,10007,Seleth Longsword,,1,13,,Main Weapon,Longsword,+13 Seleth Longsword (+13 ~ +15),
16,,1,0,1,10007,Seleth Longsword,,1,16,,Main Weapon,Longsword,PRI : Seleth Longsword,
17,,1,0,1,10007,Seleth Longsword,,1,17,,Main Weapon,Longsword,DUO : Seleth Longsword,
18,,1,0,1,10007,Seleth Longsword,,1,18,,Main Weapon,Longsword,TRI : Seleth Longsword,
19,,1,0,1,10007,Seleth Longsword,,1,19,,Main Weapon,Longsword,TET : Seleth Longsword,
20,,1,0,1,10007,Seleth Longsword,,1,20,,Main Weapon,Longsword,PEN : Seleth Longsword,
0,,1,0,1,10012,Kalis Longsword,,1,0,,Main Weapon,Longsword,Kalis Longsword (+0 ~ +7),
8,,1,0,1,10012,Kalis Longsword,,1,8,,Main Weapon,Longsword,+8 Kalis Longsword (+8 ~ +10),
11,,1,0,1,10012,Kalis Longsword,,1,11,,Main Weapon,Longsword,+11 Kalis Longsword (+11 ~ +12),
